セグメント,決算年度,決算種別,営業収益,営業利益,営業利益率,営業収益構成比,営業利益構成比,設備投資
総合金融事業,FY2025-1Q,Q1,"139,376","13,407",9.6,5.4,23.8,
ディベロッパー事業,FY2025-1Q,Q1,"128,337","17,179",13.4,5,30.5,
サービス・専門店事業,FY2025-1Q,Q1,"186,683","6,962",3.7,7.3,12.4,
国際事業,FY2025-1Q,Q1,"151,648","4,237",2.8,5.9,7.5,
その他,FY2025-1Q,Q1,"18,642","-2,812",-15.1,0.7,-5,
GMS事業,FY2025-2Q,Q2,"930,425","1,562",0.2,35.5,2.5,
SM事業,FY2025-2Q,Q2,"784,312","5,949",0.8,29.9,9.6,
DS事業,FY2025-2Q,Q2,"109,051","1,881",1.7,4.2,3,
H&W事業,FY2025-2Q,Q2,"345,927","14,259",4.1,13.2,23.1,
総合金融事業,FY2025-2Q,Q2,"136,995","13,561",9.9,5.2,21.9,
ディベロッパー事業,FY2025-2Q,Q2,"129,627","15,707",12.1,4.9,25.4,
サービス・専門店事業,FY2025-2Q,Q2,"195,143","9,874",5.1,7.4,16,
国際事業,FY2025-2Q,Q2,"129,611",650,0.5,4.9,1.1,
その他,FY2025-2Q,Q2,"19,977","-2,509",-12.6,0.8,-4.1,
GMS事業,FY2025-3Q,Q3,"903,994","-11,420",-1.3,35.3,-42.9,
SM事業,FY2025-3Q,Q3,"756,845",288,0,29.6,1.1,
DS事業,FY2025-3Q,Q3,"105,697",790,0.7,4.1,3,
H&W事業,FY2025-3Q,Q3,"333,307","4,639",1.4,13,17.4,
総合金融事業,FY2025-3Q,Q3,"142,442","13,504",9.5,5.6,50.8,
ディベロッパー事業,FY2025-3Q,Q3,"128,860","16,421",12.7,5,61.7,
サービス・専門店事業,FY2025-3Q,Q3,"184,143","4,055",2.2,7.2,15.2,
国際事業,FY2025-3Q,Q3,"137,071",839,0.6,5.4,3.2,
その他,FY2025-3Q,Q3,"19,958","-3,930",-19.7,0.8,-14.8,
